item_id,item_h1_number,item_h1,item_h1_description1,item_h1_description2,item_h2_h3_number,item_h2_h3,item_h2_h3_description1,item_h2_h3_custom_img_name_light-mode,item_h2_h3_img_link1_light-mode,item_h2_h3_img_link2_light-mode,item_h2_h3_img_link_dark-mode
1,1,Introduction to the UI,https://docs.hak5.org/wifi-pineapple/ui-overview/introduction-to-the-ui,,0,Introduction to the UI,,,,,
2,1,Introduction to the UI,,,1,Opening the User Interface,,,,,
3,1,Introduction to the UI,,,2,Logging In,,1_introduction_to_the_ui_2_logging_in_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%285%29.png,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*0WklmHyWxl5zbH7B_pfp7g.png,
4,1,Introduction to the UI,,,3,Navigating the UI,,1_introduction_to_the_ui_3_navigating_the_ui_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2817%29.png,,
5,1,Introduction to the UI,,,4,Notifications,,1_introduction_to_the_ui_4_notifications_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2827%29.png,,
6,1,Introduction to the UI,,,5,Informational Messages,,1_introduction_to_the_ui_5_informational_messages_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2858%29.png,,
7,1,Introduction to the UI,,,6,Web Terminal,,1_introduction_to_the_ui_6_web_terminal_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%282%29.png,,
8,1,Introduction to the UI,,,7,Sidebar,,1_introduction_to_the_ui_7_sidebar_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2838%29.png,,
9,1,Dashboard,https://docs.hak5.org/wifi-pineapple/ui-overview/dashboard,"The Dashboard module in Hak5 Pineapple WiFi is a web-based interface that provides an overview of the device’s status, configuration, and activity logs. It allows users to monitor and manage their WiFi network using a visual interface. The Dashboard displays real-time information on connected clients, their MAC addresses, IP addresses, and the websites they are accessing. It also provides information on Pineapple’s firmware version, available storage, and CPU usage.",0,Dashboard,,2_dashboard_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-02%2013-55-06.png,,
10,1,Dashboard,,,1,Cards,,,,,
11,1,Dashboard,,,2,Connected Clients,,,,,
12,1,Dashboard,,,3,Notifications,,,,,
13,1,Dashboard,,,4,Campaigns,,,,,
14,1,Dashboard,,,5,Wireless Landscape,,,,,
15,1,Campaigns,https://docs.hak5.org/wifi-pineapple/ui-overview/campaigns,Campaigns in the WiFi Pineapple module are automated configurations to network engagement and report generation.,0,Campaigns,,,,,
16,1,Campaigns,,,1,Manage,,3_campaigns_1_manage_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2820%29.png,,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*qcha6QS55NpfWOeHTMe6ZA.png
17,1,Campaigns,,,2,Campaign Modes,,3_campaigns_2_campaign_modes_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2852%29.png,,
18,1,Campaigns,,,3,Editing Campaigns,,3_campaigns_3_editing_campaigns_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2852%29.png,,
19,1,Campaigns,,,4,Reports,,3_campaigns_4_reports_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2846%29.png,,
20,1,Campaigns,,,5,Storage and Transmission,,3_campaigns_5_storage_and_transmission_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2846%29.png,,
21,1,Campaigns,,,6,Formats,,3_campaigns_6_formats_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2836%29.png,,
22,1,Campaigns,,,7,Review,,3_campaigns_7_review_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2836%29.png,,
23,1,PineAP,https://docs.hak5.org/wifi-pineapple/ui-overview/pineap,"The PineAP (Pineapple Access Point) Suite is a set of tools and modules available in the Hak5 Pineapple WiFi device that enables users to perform advanced WiFi network penetration testing and security assessments. The PineAP Suite includes modules for capturing and analyzing wireless traffic, creating rogue access points, performing man-in-the-middle attacks, and conducting network reconnaissance. The PineAP module can be used to create a fake access point to lure devices to connect to it, allowing attackers to intercept sensitive information such as login credentials and other data.",0,PineAP,,,,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*Ti0ULurxfT7Q7l7P_Yyd_Q.png,
24,1,PineAP,,,1,PineAP Capabilities,,,,,
25,1,PineAP,,,2,PineAP Settings,,4_pineap_2_pineap_settings_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-08-01%2015-06-34.png,,
26,1,PineAP,,,3,Open SSID,,4_pineap_3_open_ssid_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-06-10%2013-36-07.png,,https://miro.medium.com/v2/resize:fit:1400/format:webp/1*7diTpO5c17yfnm78NWuUHA.png
27,1,PineAP,,,4,Evil WPA,,4_pineap_4_evil_wpa_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-06-10%2013-39-18.png,,
28,1,PineAP,,,5,Evil Enterprise,,4_pineap_5_evil_enterprise_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-06-08%2012-38-04.png,,
29,1,PineAP,,,6,Enterprise Authentication Methods,,,,,
30,1,PineAP,,,7,Impersonation,,4_pineap_7_impersonation_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-08-01%2015-08-20.png,,
31,1,PineAP,,,8,Clients,,4_pineap_8_clients_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%288%29.png,,
32,1,PineAP,,,9,Filtering,,4_pineap_9_filtering_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-06-10%2011-18-58.png,,
33,1,PineAP,,,10,Access Points,,4_pineap_10_access_points_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-06-01%2016-56-23.png,,
34,1,Recon,https://docs.hak5.org/wifi-pineapple/ui-overview/recon,"The Recon (Reconnaissance) module is a feature of the WiFi Pineapple firmware that allows users to perform active and passive reconnaissance of wireless networks. It provides a comprehensive set of tools for scanning the surrounding WiFi environment and gathering information such as the names (SSIDs) of nearby access points, their channels, encryption types, and signal strengths. The Recon module can also detect connected client devices, their vendor information, and probe requests, and can also perform de-authentication attacks to disconnect client devices from their access points.",0,Recon,,,,,
35,1,Recon,,,1,Scanning,,5_recon_1_scanning_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-08-01%2015-10-08.png,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*X-Ol4UsxZAxSRPdc2WaD-A.png,https://miro.medium.com/v2/resize:fit:1400/format:webp/1*HPX1k9uh2a3HiJ9zG8iD4A.jpeg
36,1,Recon,,,2,Tagged Parameters,,5_recon_2_tagged_parameters_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2014-26-45.png,,
37,1,Recon,,,3,Security Information,,5_recon_3_security_information_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2014-30-17.png,,
38,1,Recon,,,4,Deauthenticating Networks and Clients,,5_recon_4_deauthenticating_networks_and_clients_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2014-25-15.png,,
39,1,Recon,,,5,Handshakes,,5_recon_5_handshakes_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2010-32-37.png,,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*76A2zD4qjuefMtoNj54m4Q.png
40,1,Recon,https://docs.hak5.org/wifi-pineapple/ui-overview/handshakes,,0,Handshakes,,,,,
41,1,Recon,,,1,Handshakes - Automatic Handshake Capture,,6_handshakes_1_automatic_handshake_capture_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2014-35-20.png,,
42,1,Recon,,,2,Handshakes - Direct Handshake Capture,,6_handshakes_2_direct_handshake_capture_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-03%2011-11-11.png,,
43,1,Recon,,,3,Handshakes - EvilWPA Handshakes,,,,,
44,1,Modules,https://docs.hak5.org/wifi-pineapple/ui-overview/modules,WiFi Pineapple Modules refer are various software components that can be installed on the device to extend the router’s functionality and perform specific tasks. Modules can be thought of as plug-ins or add-ons that can be installed on the device to enhance its capabilities.,0,Modules,,,,,
45,1,Modules,,,1,Installed Modules,,7_modules_1_installed_modules_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2822%29.png,,
46,1,Modules,,,2,Available Modules For Installation,,7_modules_2_modules_available_for_installation_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%284%29.png,,https://miro.medium.com/v2/resize:fit:1100/format:webp/1*h-6Ni4NKSpWJN9EwuAOwyw.png
47,1,Modules,,,3,Packages,,7_modules_3_packages_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/image%20%2837%29.png,,
48,1,Modules - Evil Portal,,The Evil Twin module on a WiFi Pineapple creates a fake Wi-Fi access point that imitates a legitimate nearby SSID (same name/appearance) so client devices may connect to the fake network instead of the real one. On the Pineapple this often includes a captive-portal UI so an operator can present a login page or message to connected clients.,0,Modules - Evil Portal,,,,,https://miro.medium.com/v2/resize:fit:1400/format:webp/1*XdrsCQScrw-Pc6JfOh1Iaw.png
49,1,Settings,https://docs.hak5.org/wifi-pineapple/ui-overview/settings,,0,Settings,,,,,
50,1,Settings,,,1,Settings,,8_settings_1_settings_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-32-54.png,,
51,1,Settings,,,2,Networking,,8_settings_2_networking_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-35-47.png,,
52,1,Settings,,,3,WiFi,,8_settings_3_wifi_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-36-32.png,,
53,1,Settings,,,4,LEDs,,8_settings_4_leds_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-41-20.png,,
54,1,Settings,,,5,Advanced,,8_settings_5_advanced_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-41-51.png,,
55,1,Settings,,,6,Help,,8_settings_6_help_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-09-22%2013-42-17.png,,
56,1,Cloud C2,https://docs.hak5.org/wifi-pineapple/ui-overview/cloud-c2,,0,Cloud C2,,,,,
57,1,Cloud C2,,,1,Cloud C²,,,,,
58,1,Cloud C2,,,2,Connecting to Cloud C²,,9_cloud_c2_2_connecting_to_cloud_c²_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-04%2011-22-55.png,,
59,1,Cloud C2,,,3,WiFi Pineapple and Cloud C²,,9_cloud_c2_3_wifi_pineapple_and_cloud_c²_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-04%2011-32-00.png,,
60,1,Cloud C2,,,4,Disconnecting from Cloud C²,,9_cloud_c2_4_disconnecting_from_cloud_c²_light-mode.png,https://docs.hak5.org/wifi-pineapple/images/Screenshot%20from%202022-05-04%2011-37-32.png,,
